Name;Autor;SKU;OP Barcode;Stock;Cost;Regular Price;Tax class;Tax rate;Wydawnictwo
Przebudzenie umysłu. Osiągnij pozytywny stan umysłu czerpiąc z filozofii i neuropsychologii;;9788383718989;9788383718989;3;4.88;10.6;taxable;zero rate;
Szym Pansik bawi się cały dzień;;9788327107831;9788327107831;3;4.41;8.5;taxable;zero rate;
Magia umysłu;;9788383382319;9788383382319;3;6.99;13.8;taxable;zero rate;
Wierszyki logopedyczne. Chrabąszcz w podróży. Utwory, które uczą i bawią;;9788382748604;9788382748604;3;1.29;3.2;taxable;zero rate;
Wierszyki logopedyczne. Cztery pory roku. Utwory, które uczą i bawią;;9788382748598;9788382748598;3;1.29;3.2;taxable;zero rate;
Wierszyki dla czterolatka. Utwory, które uczą i bawią;;9788382748567;9788382748567;3;1.29;3.2;taxable;zero rate;
Duch ognia (ilustrowane brzegi);;9788368364514;9788368364514;5;6.55;14.9;taxable;zero rate;
Cela nr 24. Rozmowy z dożywotnimi;;9788328737372;9788328737372;3;5;10.6;taxable;zero rate;
Złamany miecz;;9788384080207;9788384080207;3;6.86;14.9;taxable;zero rate;
Plagiat;;9788328734685;9788328734685;3;4.5;9.6;taxable;zero rate;
Gra Kalambury Kapitan Nauka;;5904905917652;5904905917652;3;2.65;5.3;taxable;Standard;
Gra Na ryneczku Rodzina Treflików 02816;;5900511028164;5900511028164;3;5.79;11.6;taxable;Standard;
