Name;Autor;isbn;OP Barcode;Stock;Cost;Regular Price;Wydawnictwo;Tax Status;Tax class
Na końcu świata (The Alaskan);Curwood James Oliver;9788368018394;9788368018394;3;4.12;8.10;CM;taxable;zero-rate
Nieznane opowieści;Poe Edgar Allan;9788368508031;9788368508031;3;3.3;6.50;CM;taxable;zero-rate
Chrobry;Gajek Grzegorz;9788383306643;9788383306643;3;8;14.90;SQN;taxable;zero-rate
Pojazdy;null null;9788381726542;9788381726542;5;0.96;2.80;Dragon;taxable;zero-rate
Zeszyt bystrzaka. Mega koty;opracowanie zbiorowe;9788367861304;9788367861304;3;1.32;2.70;Ibis;taxable;zero-rate
Inteligencja emocjonalna;Goleman Daniel;9788382652857;9788382652857;3;6.5;12.70;Media Rodzina;taxable;zero-rate
Zioła życia. Przez naturę do szczęścia;;9788383435770;9788383435770;3;6.6;14.90;;taxable;zero-rate
Nasza wielka letnia ucieczka;;9788384040324;9788384040324;3;4.69;10.60;;taxable;zero-rate
Kredki ołówkowe Bambino 24 kolory 4326;;5903235000218;5903235000218;5;2.05;4.10;;taxable;zero-rate
Co wie rzeka. Sekrety Nilu. Tom 1;;9788328730496;9788328730496;3;5.06;10.60;;taxable;zero-rate
Zojka i Zu. Samodzielność;;9788379127962;9788379127962;3;2.08;4.20;;taxable;zero-rate
Zojka i Zu. Żółwik na zgodę;;9788379127979;9788379127979;3;2.08;4.20;;taxable;zero-rate
Wanda Panda pomaga;;9788328735958;9788328735958;3;1.32;2.80;;taxable;zero-rate
Instytut Absurdu;;9788383302362;9788383302362;3;4.83;9.60;;taxable;zero-rate
Poszukiwanie Pana P. Instytut Absurdu;;9788383307633;9788383307633;3;5.37;10.60;;taxable;zero-rate
Borderline, czyli jedną nogą nad przepaścią;;9788328929135;9788328929135;3;6.52;12.60;;taxable;zero-rate
Mitologia słowiańska wyd. 2023;;9788375766721;9788375766721;3;5.23;11.70;;taxable;zero-rate
Substytucja. Seria z Joanną Chyłką. Tom 19;;9788368370973;9788368370973;5;4.89;10.60;;taxable;zero-rate
Dexter. Demony Dextera wyd. 2025;;9788324185009;9788324185009;3;4.02;10.20;;taxable;zero-rate
Tam, gdzie milkną słowa;;9788383739809;9788383739809;3;3.57;7.40;;taxable;zero-rate
Pozwólcie mi odejść. Wstrząsająca historia ofiary handlu ludźmi;;9788327293763;9788327293763;3;5.33;8.50;;taxable;zero-rate
Amok;;9788367520706;9788367520706;3;5.14;10.60;;taxable;zero-rate
Teoria „pozwól im”;;9788375799538;9788375799538;3;5.6;11.70;;taxable;zero-rate
Regiel;;9788383299020;9788383299020;3;5.02;11.30;;taxable;zero-rate
Kucharz;;9788328736498;9788328736498;3;4.55;9.60;;taxable;zero-rate
Patopaństwo. O tym, jak elity pustoszą nasz kraj;;9788383872124;9788383872124;3;6.81;11.70;;taxable;zero-rate
Kapturek musi zginąć;;9788368381337;9788368381337;3;6.39;12.70;;taxable;zero-rate
Niezdobyta. Tom 1-2 (ilustrowane brzegi);;9788397145566;9788397145566;3;12.79;25.50;;taxable;zero-rate
Marika i Bazyli. Tajemnice amazo (ilustrowane brzegi);;9788367788533;9788367788533;3;7.22;11.70;;taxable;zero-rate
Kuszenie (ilustrowane brzegi);;9788368005240;9788368005240;1;4.76;11.30;;taxable;zero-rate
Głodne duchy;;9788383961309;9788383961309;3;6.68;13.80;;taxable;zero-rate
