"SKU","Name","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 1 visible","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 2 visible","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 3 visible","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 4 visible","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 5 visible","Autor","Wydawnictwo","Op Barcode","Height (cm)","Length (cm)","Width (cm)","Weight","Kod Ean","Liczba Stron","Oprawa","Rok Wydania","Description","Short description","Images","Categories"
"9788363696351","Jadłonomia Kuchnia roślinna – 100 przepisów nie tylko dla wegan","Kod EAN","anty9788363696351","0","1","Tutuł","Jadłonomia Kuchnia roślinna – 100 przepisów nie tylko dla wegan","0","1","Autor","Marta Dymek","0","1","Wydawnictwo","Dwie Siostry","0","1","Tytuł originału",,"0","1","Marta Dymek","Dwie Siostry","anty9788363696351","17.0","21.5","0","0.714","anty9788363696351","282","Twarda","2020","Pierwsza książka kucharska twórczyni „Jadłonomii” – najpopularniejszego polskiego bloga o kuchni roślinnej. Czy łodyga brokułu nadaje się do jedzenia? Do czego wykorzystać natkę marchewki? Jak zrobić bezmięsny pasztet na świąteczny stół? Odpowiedź na te i wiele innych pytań znajdziecie w długo wyczekiwanej książce Marty Dymek  – znanej z programu „Dzień Dobry TVN” autorki „Jadłonomii”, najpopularniejszego bloga w polskim internecie poświęconego kuchni roślinnej, Kulinarnego Bloga Roku 2013. Autorka skomponowała ponad 100 przepisów na wegańskie śniadania, obiady i kolacje z bulw, korzeni i liści. Tu burak zmienia się w ciasto czekoladowe, pietruszka występuje w parze z gruszką, a z garści kapusty powstają chrupiące chipsy. Pozycja obowiązkowa dla wszystkich jaroszy i tych, którzy do tej pory nie wyobrażali sobie bezmięsnego obiadu. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.","Pierwsza książka kucharska twórczyni „Jadłonomii” – najpopularniejszego polskiego bloga o kuchni roślinnej. Czy łodyga brokułu nadaje się do jedzenia? Do czego wykorzystać natkę marchewki? Jak zrobić bezmięsny pasztet na świąteczny stół? Odpowiedź na te i wiele innych pytań znajdziecie w długo wyczekiwanej książce Marty Dymek  – znanej z programu „Dzień Dobry TVN” autorki „Jadłonomii”, najpopularniejszego bloga w polskim internecie poświęconego kuchni roślinnej, Kulinarnego Bloga Roku 2013. Autorka skomponowała ponad 100 przepisów na wegańskie śniadania, obiady i kolacje z bulw, korzeni i liści. Tu burak zmienia się w ciasto czekoladowe, pietruszka występuje w parze z gruszką, a z garści kapusty powstają chrupiące chipsy. Pozycja obowiązkowa dla wszystkich jaroszy i tych, którzy do tej pory nie wyobrażali sobie bezmięsnego obiadu. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.","https://ksiegarniainternetowa.co.uk/img/product_images_new/397/321397_01_jadlonomia.300.jpg","Antykwariat"
"9788378853848","Central Park","Kod EAN","anty9788378853848","0","1","Tutuł","Central Park","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","ALBATROS","0","1","Tytuł originału",,"0","1","Guillaume Musso","ALBATROS","anty9788378853848","14.0","20.5","0","0.445","anty9788378853848","352","Miękka ze skrzydełkami","2015","Najnowsza powieść mistrza thrillera i jednego z najpoczytniejszych pisarzy w historii literatury francuskiej. 8 rano. Alice i Gabriel budzą się na ławce w Central Parku skuci ze sobą kajdankami. Nie znają się i nie pamiętają, żeby się kiedykolwiek spotkali. Poprzedniej nocy Alice bawiła się z przyjaciółkami na Polach Elizejskich, a Gabriel grał na pianinie w dublińskim klubie. Niemożliwe? A jednak… Jak wplątali się w tę niebezpieczną historię? Plamy czyjej krwi znajdują się na koszulce Alice? Dlaczego w jej broni brakuje jednego pocisku?","Najnowsza powieść mistrza thrillera i jednego z najpoczytniejszych pisarzy w historii literatury francuskiej. 8 rano. Alice i Gabriel budzą się na ławce w Central Parku skuci ze sobą kajdankami. Nie znają się i nie pamiętają, żeby się kiedykolwiek spotkali. Poprzedniej nocy Alice bawiła się z przyjaciółkami na Polach Elizejskich, a Gabriel grał na pianinie w dublińskim klubie. Niemożliwe? A jednak… Jak wplątali się w tę niebezpieczną historię? Plamy czyjej krwi znajdują się na koszulce Alice? Dlaczego w jej broni brakuje jednego pocisku?","https://ksiegarniainternetowa.co.uk/img/product_images_new/591/209591_01_central_park.300.jpg","Antykwariat"
"9788365781338","Dziewczyna z Brooklynu","Kod EAN","anty9788365781338","0","1","Tutuł","Dziewczyna z Brooklynu","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału","La fille de Brooklyn","0","1","Guillaume Musso","Albatros","anty9788365781338","14.5","20.5","0","0.464","anty9788365781338","368","Miękka ze skrzydełkami","2017","Guillaume Musso, który od lat utrzymuje się na pierwszym miejscu listy najpopularniejszych francuskich pisarzy, słusznie nazywany jest mistrzem suspensu! Doskonale pamiętam ten moment: stoimy nad brzegiem morza, patrząc, jak zachodzące słońce rozświetla horyzont. Wtedy Anna zapytała: „Czy wciąż byś mnie kochał, gdybym zrobiła coś naprawdę złego?“. Co mogłem odpowiedzieć? Anna była kobietą mojego życia. Za trzy miesiące mieliśmy się pobrać. Oczywiście, że ją kochałem, niezależnie od tego, co zrobiła. Tak przynajmniej myślałem, gdy ona gorączkowo szperała w torebce i wręczała mi zdjęcie, mówiąc: „Oto, co zrobiłam“. Patrzyłem oszołomiony na jej sekret i wiedziałem, że nasz los odmienił się bezpowrotnie. Zszokowany, odszedłem bez słowa. Kiedy wróciłem, było już za późno – Anna zniknęła. Od tamtej chwili wciąż jej szukam. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.","Guillaume Musso, który od lat utrzymuje się na pierwszym miejscu listy najpopularniejszych francuskich pisarzy, słusznie nazywany jest mistrzem suspensu! Doskonale pamiętam ten moment: stoimy nad brzegiem morza, patrząc, jak zachodzące słońce rozświetla horyzont. Wtedy Anna zapytała: „Czy wciąż byś mnie kochał, gdybym zrobiła coś naprawdę złego?“. Co mogłem odpowiedzieć? Anna była kobietą mojego życia. Za trzy miesiące mieliśmy się pobrać. Oczywiście, że ją kochałem, niezależnie od tego, co zrobiła. Tak przynajmniej myślałem, gdy ona gorączkowo szperała w torebce i wręczała mi zdjęcie, mówiąc: „Oto, co zrobiłam“. Patrzyłem oszołomiony na jej sekret i wiedziałem, że nasz los odmienił się bezpowrotnie. Zszokowany, odszedłem bez słowa. Kiedy wróciłem, było już za późno – Anna zniknęła. Od tamtej chwili wciąż jej szukam. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.","https://ksiegarniainternetowa.co.uk/img/product_images_new/811/326811_01_dziewczyna_z_brooklynu.300.jpg","Antykwariat"
"9788376590158","Potem","Kod EAN","anty9788376590158","0","1","Tutuł","Potem","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału","ET APRES...","0","1","Guillaume Musso","Albatros","anty9788376590158","12.2","19.5","0","0.32","anty9788376590158","304","Miękka ze skrzydełkami","2009","Nowojorski adwokat Nathan Del Amiro robi karierę kosztem zaniedbywanej rodziny. Jego żona, Mallory, decydeje się odejść, choć wciąż go kocha. Pewnego razu w kancelarii Nathana zjawia się Garrett Goodrich, chirurg, ordynator oddziału opieki paliatywnej, opiekun ludzi beznadziejnie chorych. Posiada on szczególny dar - dostrzega świetlistą aureolę nad osobami, które mają rychło zejść z tego świata. Goodrich w sposób zawoalowany mówi Nathanowi, że i on wkrótce umrze. Od tej pory Nathan inaczej patrzy na świat, zdaje sobie sprawę, że zawiódł ukochaną żonę. Stara się ułożyć stosunki z Mallory i córką, bierze na siebie winę za wypadek, którego nie spowodował. Ścigając się z czasem, nie od razu pojmuje, że jego przeznaczeniem jest zostać Posłańcem...","Nowojorski adwokat Nathan Del Amiro robi karierę kosztem zaniedbywanej rodziny. Jego żona, Mallory, decydeje się odejść, choć wciąż go kocha. Pewnego razu w kancelarii Nathana zjawia się Garrett Goodrich, chirurg, ordynator oddziału opieki paliatywnej, opiekun ludzi beznadziejnie chorych. Posiada on szczególny dar - dostrzega świetlistą aureolę nad osobami, które mają rychło zejść z tego świata. Goodrich w sposób zawoalowany mówi Nathanowi, że i on wkrótce umrze. Od tej pory Nathan inaczej patrzy na świat, zdaje sobie sprawę, że zawiódł ukochaną żonę. Stara się ułożyć stosunki z Mallory i córką, bierze na siebie winę za wypadek, którego nie spowodował. Ścigając się z czasem, nie od razu pojmuje, że jego przeznaczeniem jest zostać Posłańcem...","https://ksiegarniainternetowa.co.uk/img/product_images_new/648/89648_01_potem.300.jpg","Antykwariat"
"9788373594630","Uratuj mnie","Kod EAN","anty9788373594630","0","1","Tutuł","Uratuj mnie","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału","SAUVE-MOI","0","1","Guillaume Musso","Albatros","anty9788373594630","12.2","19.4","0","0.375","anty9788373594630","368","Miękka ze skrzydełkami","2007","Nie wyznając sobie swoich uczuć, para zakochanych żegna się na lotnisku. Samolot, do którego wsiada dziewczyna rozbija się krótko po starcie. Ale to jeszcze nie koniec... Czy miłość okaże się silniejsza od śmierci""","Nie wyznając sobie swoich uczuć, para zakochanych żegna się na lotnisku. Samolot, do którego wsiada dziewczyna rozbija się krótko po starcie. Ale to jeszcze nie koniec... Czy miłość okaże się silniejsza od śmierci""","https://ksiegarniainternetowa.co.uk/img/product_images_new/612/178612_01_uratuj_mnie.300.jpg","Antykwariat"
"9788373596825","Będziesz tam?","Kod EAN","anty9788373596825","0","1","Tutuł","Będziesz tam?","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału","Seras tu la?","0","1","Guillaume Musso","Albatros","anty9788373596825","13.0","20.0","0","0.329","anty9788373596825","318","Miękka ze skrzydełkami","2014","Trzecia powieść niezwykle popularnego we Francji pisarza, autora bestsellerów Potem... oraz Uratuj mnie, którego firmowym znakiem jest nieposkromiona fantazja i ogromna wrażliwość. Elliott, uznany chirurg, ma sześćdziesiąt lat i niedługo umrze. Śmiertelna choroba nie daje mu nadziei na przyszłość. Największą radością jego życia jest dorosła już córka, Angie, a największym pragnieniem, raz jeszcze ujrzeć ukochaną kobietę - zmarłą w tragicznych okolicznościach przed trzydziestoma laty Ilenę. Podczas jednej z misji humanitarnych w Kambodży, po operacji małego chłopca, Elliott otrzymuje od jego dziadka dziwny flakonik z trzema złotymi pigułkami, dzięki którym będzie ponoć mógł spełnić swoje największe marzenie. Gdy zażywa pierwszą z ampułek jego świat ulega całkowitej przemianie - może podróżować w czasie, po raz kolejny przeżywa swoją młodość... Czy uda mu się ocalić przed śmiercią ukochaną kobietę?","Trzecia powieść niezwykle popularnego we Francji pisarza, autora bestsellerów Potem... oraz Uratuj mnie, którego firmowym znakiem jest nieposkromiona fantazja i ogromna wrażliwość. Elliott, uznany chirurg, ma sześćdziesiąt lat i niedługo umrze. Śmiertelna choroba nie daje mu nadziei na przyszłość. Największą radością jego życia jest dorosła już córka, Angie, a największym pragnieniem, raz jeszcze ujrzeć ukochaną kobietę - zmarłą w tragicznych okolicznościach przed trzydziestoma laty Ilenę. Podczas jednej z misji humanitarnych w Kambodży, po operacji małego chłopca, Elliott otrzymuje od jego dziadka dziwny flakonik z trzema złotymi pigułkami, dzięki którym będzie ponoć mógł spełnić swoje największe marzenie. Gdy zażywa pierwszą z ampułek jego świat ulega całkowitej przemianie - może podróżować w czasie, po raz kolejny przeżywa swoją młodość... Czy uda mu się ocalić przed śmiercią ukochaną kobietę?","https://ksiegarniainternetowa.co.uk/img/product_images_new/993/62993_01_bedziesz_tam.300.jpg","Antykwariat"
"9788373598508","Ponieważ Cię kocham","Kod EAN","anty9788373598508","0","1","Tutuł","Ponieważ Cię kocham","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału","PARCE QUE JE T'AIME","0","1","Guillaume Musso","Albatros","anty9788373598508","12.3","19.5","0","0.32","anty9788373598508","304","Miękka ze skrzydełkami","2012","W centrum handlowym, wskutek nieuwagi opiekunki, znika bez śladu pięcioletnia Layla. Nikt nie żąda okupu, a prowadzone przez policję poszukiwania okazują się bezowocne. Załamani tragedią rodzice, szanowany psycholog i znakomita skrzypaczka, obwiniają się wzajemnie i rozstają. Mark dosłownie ląduje na ulicy, zaś jego żona Nicole rzuca się w wir pracy. Pięć lat później ścieżki obojga małżonków ponownie się krzyżują. Mark ratuje życie wracającej po koncercie do domu żonie, zaatakowanej przez bandytę z nożem. Niedługo potem Layla pojawia się dokładnie w tym samym miejscu, w którym zniknęła. Co działo się z dziewczynką przez pięć lat? Zaskakujący powrót córki to nie jedyna niespodzianka, jaką los zgotował bohaterom...","W centrum handlowym, wskutek nieuwagi opiekunki, znika bez śladu pięcioletnia Layla. Nikt nie żąda okupu, a prowadzone przez policję poszukiwania okazują się bezowocne. Załamani tragedią rodzice, szanowany psycholog i znakomita skrzypaczka, obwiniają się wzajemnie i rozstają. Mark dosłownie ląduje na ulicy, zaś jego żona Nicole rzuca się w wir pracy. Pięć lat później ścieżki obojga małżonków ponownie się krzyżują. Mark ratuje życie wracającej po koncercie do domu żonie, zaatakowanej przez bandytę z nożem. Niedługo potem Layla pojawia się dokładnie w tym samym miejscu, w którym zniknęła. Co działo się z dziewczynką przez pięć lat? Zaskakujący powrót córki to nie jedyna niespodzianka, jaką los zgotował bohaterom...","https://ksiegarniainternetowa.co.uk/img/product_images_new/098/63098_01_poniewaz_cie_kocham.300.jpg","Antykwariat"
"9788376593753","Kim byłbym bez ciebie","Kod EAN","anty9788376593753","0","1","Tutuł","Kim byłbym bez ciebie","0","1","Autor","Guillaume Musso","0","1","Wydawnictwo","Albatros","0","1","Tytuł originału",,"0","1","Guillaume Musso","Albatros","anty9788376593753","14.5","20.5","0","0.448","anty9788376593753","360","Miękka ze skrzydełkami","2011","Kolejna znakomita powieść Guillaume Musso, autora niezapomnianego ""Potem"", romantyczny kryminał, w którym świat rzeczywisty miesza się z fantazją, a przestępstw dokonuje się z wdziękiem i w białych rękawiczkach. W życiu Gabrielle najważniejsi są dwaj mężczyźni - ojciec i ukochany. Jeden z nich jest złodziejem, drugi policjantem. Ojciec dziewczyny, Archibald, to przestępca starej daty - okrzyknięty najprzebieglejszym przestępcą wszech czasów, oczytany erudyta, który z niewymuszonym urokiem kradnie największe dzieła sztuki. Martin Beaumont zawodowo zajmuje się ściganiem ludzi pokroju Archibalda. Młody, obdarzony fantastyczny temperamentem, staje właśnie przed życiową szansą - pojmaniem legendarnego złodzieja. Żaden z nich nie wie, kim jest ten drugi.","Kolejna znakomita powieść Guillaume Musso, autora niezapomnianego ""Potem"", romantyczny kryminał, w którym świat rzeczywisty miesza się z fantazją, a przestępstw dokonuje się z wdziękiem i w białych rękawiczkach. W życiu Gabrielle najważniejsi są dwaj mężczyźni - ojciec i ukochany. Jeden z nich jest złodziejem, drugi policjantem. Ojciec dziewczyny, Archibald, to przestępca starej daty - okrzyknięty najprzebieglejszym przestępcą wszech czasów, oczytany erudyta, który z niewymuszonym urokiem kradnie największe dzieła sztuki. Martin Beaumont zawodowo zajmuje się ściganiem ludzi pokroju Archibalda. Młody, obdarzony fantastyczny temperamentem, staje właśnie przed życiową szansą - pojmaniem legendarnego złodzieja. Żaden z nich nie wie, kim jest ten drugi.","https://ksiegarniainternetowa.co.uk/img/product_images_new/901/89901_01_kim_bylbym_bez_ciebie.300.jpg","Antykwariat"
"9788324020454","Zamień chemię na jedzenie","Kod EAN","anty9788324020454","0","1","Tutuł","Zamień chemię na jedzenie","0","1","Autor","Julita Bator","0","1","Wydawnictwo","Znak","0","1","Tytuł originału",,"0","1","Julita Bator","Znak","anty9788324020454","14.0","20.5","0","0.34","anty9788324020454","286","Miękka","2020","Książka, która nie zawiera chemii ani polepszaczy smaku! Co to znaczy zdrowo się odżywiać? Zacznij od unikania chemicznych dodatków. Nie tylko nie są potrzebne, one szkodzą! Jednego czekoladowego batona można przegryźć bez obaw, ale rozmaite barwniki, słodziki, wzmacniacze smaku i aromaty zjedzone także w płatkach śniadaniowych, w domowej(!) zupie czy lodach sumują się. I rujnują twoje zdrowie. Są przyczyną alergii, niestrawności, złego samopoczucia, a być może także zespołu ADHD. Niewiele przeprowadzono rzetelnych badań dotyczących sztucznych dodatków do żywności. Julita Bator weryfikuje dane od producentów. Ponieważ dzieci autorki wykazują silną alergię na „polepszacze” i konserwanty musiała zmienić styl odżywiania się i życia całej rodziny. Od czterech lat próbuje, nie wydając dużych sum na kupowanie wyłącznie ekologicznych produktów, żyć bez „chemii”. Jej książka może być dla nas przewodnikiem po kuchni, która pachnie tak, jak jedzenie pamiętane z naszego dzieciństwa. W dwudziestu rozdziałach udziela porad, jak unikać szkodliwej żywności, ale także jakie naczynia stosować w kuchni, jak przemycać wartościowe produkty w potrawach. Podaje 81 przepisów, które przywracają polskiej kuchni dawną, utraconą przed laty świetność.","Książka, która nie zawiera chemii ani polepszaczy smaku! Co to znaczy zdrowo się odżywiać? Zacznij od unikania chemicznych dodatków. Nie tylko nie są potrzebne, one szkodzą! Jednego czekoladowego batona można przegryźć bez obaw, ale rozmaite barwniki, słodziki, wzmacniacze smaku i aromaty zjedzone także w płatkach śniadaniowych, w domowej(!) zupie czy lodach sumują się. I rujnują twoje zdrowie. Są przyczyną alergii, niestrawności, złego samopoczucia, a być może także zespołu ADHD. Niewiele przeprowadzono rzetelnych badań dotyczących sztucznych dodatków do żywności. Julita Bator weryfikuje dane od producentów. Ponieważ dzieci autorki wykazują silną alergię na „polepszacze” i konserwanty musiała zmienić styl odżywiania się i życia całej rodziny. Od czterech lat próbuje, nie wydając dużych sum na kupowanie wyłącznie ekologicznych produktów, żyć bez „chemii”. Jej książka może być dla nas przewodnikiem po kuchni, która pachnie tak, jak jedzenie pamiętane z naszego dzieciństwa. W dwudziestu rozdziałach udziela porad, jak unikać szkodliwej żywności, ale także jakie naczynia stosować w kuchni, jak przemycać wartościowe produkty w potrawach. Podaje 81 przepisów, które przywracają polskiej kuchni dawną, utraconą przed laty świetność.","https://ksiegarniainternetowa.co.uk/img/product_images_new/803/142803_01_zamien_chemie_na_jedzenie.300.jpg","Antykwariat"
"9788372296344","Fatalna lista","Kod EAN","anty9788372296344","0","1","Tutuł","Fatalna lista","0","1","Autor","Siobhan Vivian","0","1","Wydawnictwo","Feeria","0","1","Tytuł originału",,"0","1","Siobhan Vivian","Feeria","anty9788372296344","14.5","20.5","0","0.378","anty9788372296344","408","Miękka","2020","Piękno i brzydota nie zawsze są kwestią wyglądu. Wyobraź sobie, że gdy przychodzisz do szkoły, oczy wszystkich są wbite w jeden punkt. W listę. Czy znajdziesz na niej swoje nazwisko? A jeśli tak, to w której kategorii? Co roku ktoś - nie wiadomo, kto - wybiera dwie dziewczyny z każdego rocznika. Jedna zostaje okrzyknięta najpiękniejszą, druga - najbrzydszą. O tych spoza listy natychmiast się zapomina. Wybrane nagle znajdują się w centrum uwagi całej szkoły. Na liście są nazwiska ośmiu dziewcząt. W świecie po liście ich życie już nigdy nie będzie takie samo.","Piękno i brzydota nie zawsze są kwestią wyglądu. Wyobraź sobie, że gdy przychodzisz do szkoły, oczy wszystkich są wbite w jeden punkt. W listę. Czy znajdziesz na niej swoje nazwisko? A jeśli tak, to w której kategorii? Co roku ktoś - nie wiadomo, kto - wybiera dwie dziewczyny z każdego rocznika. Jedna zostaje okrzyknięta najpiękniejszą, druga - najbrzydszą. O tych spoza listy natychmiast się zapomina. Wybrane nagle znajdują się w centrum uwagi całej szkoły. Na liście są nazwiska ośmiu dziewcząt. W świecie po liście ich życie już nigdy nie będzie takie samo.","https://ksiegarniainternetowa.co.uk/img/product_images_new/393/314393_01_fatalna_lista.300.jpg","Antykwariat"
